REEF_ID,REEF_NAME,SECTOR,SHELF,LATITUDE,LONGITUDE,in_marine_protected_area,capad_name,capad_iucn,capad_type,capad_match_count
16058S,HOPE REEF(16058),CA,O,-16.53,146.125,True,Great Barrier Reef,VI,Marine Park,1
16060S,MICHAELMAS REEF,CA,M,-16.583333,146.016667,True,Great Barrier Reef,II,Marine Park,2
16063S,EUSTON REEF,CA,O,-16.691667,146.25,True,Great Barrier Reef,Ia,Marine Park,1
16064S,ARLINGTON REEF,CA,M,-16.716667,146.066667,True,Great Barrier Reef,VI,Marine Park,1
16065S,FLYNN REEF,CA,O,-16.733333,146.275,True,Great Barrier Reef,IV,Marine Park,1
16067S,MILLN REEF,IN,M,-16.791667,146.275,True,Great Barrier Reef,II,Marine Park,1
16068S,THETFORD REEF,CA,M,-16.808333,146.191667,True,Great Barrier Reef,IV,Marine Park,1
16071S,MOORE REEF,IN,M,-16.866667,146.233333,True,Great Barrier Reef,II,Marine Park,1
17004S,SCOTT REEF,IN,M,-17.075,146.183333,True,Great Barrier Reef,II,Marine Park,1
17008S,NOGGIN REEF,IN,O,-17.133333,146.466667,True,Great Barrier Reef,VI,Marine Park,1
17010S,FLORA REEF,IN,M,-17.183333,146.291667,True,Great Barrier Reef,IV,Marine Park,1
17011S,COATES REEF,IN,M,-17.2,146.366667,True,Great Barrier Reef,VI,Marine Park,1
17012A,NORMANBY-MABEL REEF,IN,I,-17.208333,146.083333,True,Great Barrier Reef,IV,Marine Park,2
17014S,HEDLEY REEF,IN,O,-17.233333,146.483333,True,Great Barrier Reef,II,Marine Park,1
17016S,MCCULLOCH,IN,M,-17.283333,146.45,True,Great Barrier Reef,VI,Marine Park,1
17024S,PEART REEF,IN,M,-17.483333,146.391667,True,Great Barrier Reef,VI,Marine Park,1
17032S,WARDLE REEF,IN,O,-17.45,146.541667,True,Great Barrier Reef,VI,Marine Park,1
17034S,FEATHER REEF,IN,M,-17.533333,146.383333,True,Great Barrier Reef,II,Marine Park,1
17043A,JESSIE-KENT REEF,IN,I,-17.676667,146.175,True,Great Barrier Reef,IV,Marine Park,2
17043C,HUTCHISON REEF,IN,I,-17.675,146.166667,True,Great Barrier Reef,IV,Marine Park,2
17044S,ELLISON REEF,IN,M,-17.725,146.4,True,Great Barrier Reef,VI,Marine Park,1
17051S,BEAVER REEF,IN,M,-17.85,146.483333,True,Girringun,VI,Indigenous Protected Area,3
17057S,GILBEY REEF,IN,O,-17.583333,146.583333,True,Great Barrier Reef,VI,Marine Park,1
17059A,POTTER REEF (NO 1),IN,O,-17.7,146.55,True,Great Barrier Reef,VI,Marine Park,1
17063A,FARQUHARSON REEF (NO 1),IN,M,-17.783333,146.516667,True,Great Barrier Reef,VI,Marine Park,1
17064S,TAYLOR REEF,IN,M,-17.833333,146.55,True,Girringun,VI,Indigenous Protected Area,3
17068S,MOSS REEF,IN,O,-17.95,146.8,True,Girringun,VI,Indigenous Protected Area,2
18023S,18023S,TO,O,-18.141667,146.975,True,Girringun,VI,Indigenous Protected Area,2
18025S,18025S,TO,M,-18.266667,146.908333,True,Girringun,VI,Indigenous Protected Area,2
18026S,18026S,TO,M,-18.333333,146.741667,True,Girringun,VI,Indigenous Protected Area,3
18029S,BRAMBLE REEF,TO,M,-18.416667,146.708333,True,Great Barrier Reef,VI,Marine Park,1
18030S,KELSO REEF,TO,M,-18.441667,146.991667,True,Great Barrier Reef,II,Marine Park,2
18031S,LITTLE KELSO REEF,TO,M,-18.475,147.0,True,Great Barrier Reef,II,Marine Park,2
18032S,RIB REEF,TO,M,-18.483333,146.883333,True,Great Barrier Reef,VI,Marine Park,1
18034S,MYRMIDON REEF,TO,O,-18.266667,147.391667,True,Great Barrier Reef,II,Marine Park,1
18037S,NEEDLE REEF,TO,O,-18.358333,147.208333,True,Great Barrier Reef,IV,Marine Park,1
18039S,DIP REEF,TO,O,-18.416667,147.458333,True,Great Barrier Reef,II,Marine Park,1
18041S,FARADAY REEF,TO,O,-18.425,147.358333,True,Great Barrier Reef,II,Marine Park,1
18042S,ROXBURGH REEF,TO,M,-18.433333,147.066667,True,Great Barrier Reef,VI,Marine Park,1
18043S,FORE AND AFT REEF,TO,M,-18.5,147.033333,True,Great Barrier Reef,VI,Marine Park,2
18046S,COIL REEF,TO,O,-18.441667,147.516667,True,Great Barrier Reef,II,Marine Park,1
18053S,FANTOME (EUMILLI) ISLAND REEF,TO,I,-18.675,146.516667,False,,,,0
18065S,HAVANNAH REEF,TO,I,-18.85,146.541667,True,Great Barrier Reef,VI,Marine Park,1
18073S,HOPKINSON REEF,TO,M,-18.558333,147.191667,True,Great Barrier Reef,VI,Marine Park,1
18074S,YANKEE REEF,TO,M,-18.566667,147.491667,True,Great Barrier Reef,II,Marine Park,1
18075S,JOHN BREWER REEF,TO,M,-18.633333,147.058333,True,Great Barrier Reef,IV,Marine Park,1
18076S,HELIX REEF,TO,M,-18.633333,147.3,True,Great Barrier Reef,II,Marine Park,1
18077S,GRUB REEF(18077),TO,M,-18.633333,147.425,True,Great Barrier Reef,VI,Marine Park,1
18078S,LODESTONE REEF,TO,M,-18.7,147.1,True,Great Barrier Reef,VI,Marine Park,1
18079S,KEEPER REEF,TO,M,-18.75,147.266667,True,Great Barrier Reef,VI,Marine Park,1
18081S,KNIFE REEF,TO,O,-18.583333,147.558333,True,Great Barrier Reef,II,Marine Park,1
18083S,FORK REEF,TO,O,-18.616667,147.558333,True,Great Barrier Reef,II,Marine Park,1
18086S,CHICKEN REEF,TO,O,-18.658333,147.708333,True,Great Barrier Reef,VI,Marine Park,1
18088S,CENTIPEDE REEF,TO,M,-18.725,147.541667,True,Great Barrier Reef,VI,Marine Park,1
18091S,LYNCHS REEF,TO,M,-18.775,147.708333,True,Great Barrier Reef,II,Marine Park,1
18095S,WHEELER REEF,TO,M,-18.808333,147.525,True,Great Barrier Reef,II,Marine Park,2
18096S,DAVIES REEF,TO,M,-18.825,147.641667,True,Great Barrier Reef,IV,Marine Park,1
18099S,SAVILLE-KENT REEF,TO,M,-18.858333,147.891667,True,Great Barrier Reef,II,Marine Park,1
18106S,(LITTLE) BROADHURST REEF,TO,M,-18.966667,147.7,True,Great Barrier Reef,VI,Marine Park,1
18112S,VIPER REEF,CU,O,-18.866667,148.141667,True,Great Barrier Reef,VI,Marine Park,1
18118S,SHRIMP REEF,CU,M,-18.95,148.083333,True,Great Barrier Reef,VI,Marine Park,1
18120S,JAGUAR REEF,CU,O,-18.983333,148.425,True,Great Barrier Reef,II,Marine Park,1
19019S,BOWDEN REEF,CU,M,-19.033333,147.933333,True,Great Barrier Reef,VI,Marine Park,1
19028S,SHELL REEF,CU,M,-19.066667,148.183333,True,Great Barrier Reef,VI,Marine Park,1
19044S,FAITH REEF,CU,M,-19.283333,148.35,True,Great Barrier Reef,VI,Marine Park,1
19045S,STANLEY REEF,CU,M,-19.3,148.083333,True,Great Barrier Reef,II,Marine Park,1
19046S,HOPE REEF(19046),CU,M,-19.325,148.433333,True,Great Barrier Reef,VI,Marine Park,1
